id_sv,id_cc,ngoai_ngu,code_ngoai_ngu,loai_cc,diem_cc,diem_quy_doi_THPT
84595781397,CC0,Tiếng Anh,N3,TOEFL,5.5,9.1
89112434873,CC1,Tiếng Nhật,N2,TOEFL,7.0,8.9
55866489186,CC2,Tiếng Anh,N1,JLPT,5.0,8.9
30748445119,CC3,Tiếng Anh,N1,JLPT,4.6,8.8
71814915062,CC4,Tiếng Nhật,N1,TOEFL,6.5,8.2
53460808529,CC5,Tiếng Nhật,N3,IELTS,4.2,8.4
11228373302,CC6,Tiếng Nhật,N1,IELTS,6.9,9.3
94557920123,CC7,Tiếng Pháp,N3,IELTS,5.8,8.6
92626415143,CC8,Tiếng Pháp,N2,IELTS,6.7,8.8
65468980012,CC9,Tiếng Nhật,N2,IELTS,5.3,8.4
50778831686,CC10,Tiếng Pháp,N1,TOEFL,8.9,8.3
78562363010,CC11,Tiếng Nhật,N1,IELTS,7.8,9.7
25440372820,CC12,Tiếng Anh,N2,IELTS,4.1,9.3
86677816967,CC13,Tiếng Pháp,N2,TOEFL,5.4,8.1
35998503020,CC14,Tiếng Pháp,N1,TOEFL,9.0,8.5
67213541747,CC15,Tiếng Pháp,N1,JLPT,4.9,8.9
57716116781,CC16,Tiếng Pháp,N1,TOEFL,6.1,8.1
54860041264,CC17,Tiếng Nhật,N2,JLPT,6.6,9.8
71017071028,CC18,Tiếng Nhật,N1,IELTS,6.9,8.6
22738948890,CC19,Tiếng Nhật,N2,IELTS,8.9,9.5
11068404038,CC20,Tiếng Nhật,N2,JLPT,7.1,8.5
31025751154,CC21,Tiếng Anh,N3,IELTS,4.9,8.7
74159760416,CC22,Tiếng Pháp,N1,JLPT,4.2,8.5
75043940114,CC23,Tiếng Pháp,N1,TOEFL,8.7,9.9
73403881874,CC24,Tiếng Nhật,N2,IELTS,7.3,9.6
22542818468,CC25,Tiếng Nhật,N3,JLPT,4.5,8.2
69121657381,CC26,Tiếng Anh,N3,TOEFL,6.2,8.5
24797602977,CC27,Tiếng Pháp,N3,TOEFL,7.5,8.1
41517502989,CC28,Tiếng Anh,N1,TOEFL,6.3,9.7
24129862258,CC29,Tiếng Anh,N2,TOEFL,8.9,8.1
21051165314,CC30,Tiếng Pháp,N1,IELTS,7.1,8.7
59879463190,CC31,Tiếng Anh,N2,IELTS,5.9,8.9
75490828731,CC32,Tiếng Pháp,N1,JLPT,6.1,8.8
61076944008,CC33,Tiếng Pháp,N2,JLPT,5.6,8.6
46427861444,CC34,Tiếng Anh,N1,JLPT,5.5,8.7
14505670665,CC35,Tiếng Anh,N1,JLPT,7.1,9.3
79158118223,CC36,Tiếng Nhật,N1,TOEFL,8.0,9.5
12152378954,CC37,Tiếng Pháp,N3,IELTS,5.2,9.4
95777462447,CC38,Tiếng Nhật,N3,TOEFL,5.6,8.3
77225542041,CC39,Tiếng Nhật,N3,IELTS,6.4,9.7
22611718843,CC40,Tiếng Pháp,N2,IELTS,4.1,9.4
62595342958,CC41,Tiếng Nhật,N2,TOEFL,6.7,9.4
47485856480,CC42,Tiếng Pháp,N3,IELTS,4.3,8.4
64880934816,CC43,Tiếng Pháp,N3,IELTS,7.5,8.6
19255667391,CC44,Tiếng Nhật,N1,IELTS,5.4,9.3
69504266910,CC45,Tiếng Pháp,N1,JLPT,6.1,8.4
69191787774,CC46,Tiếng Nhật,N2,IELTS,6.6,10.0
54052458390,CC47,Tiếng Nhật,N2,TOEFL,9.0,8.3
71308274281,CC48,Tiếng Anh,N2,IELTS,5.5,8.3
65738133169,CC49,Tiếng Anh,N1,IELTS,6.1,8.3
35862831779,CC50,Tiếng Pháp,N1,TOEFL,5.5,8.6
41735097142,CC51,Tiếng Anh,N1,JLPT,7.3,9.6
86652374900,CC52,Tiếng Nhật,N3,JLPT,4.8,8.9
79304953894,CC53,Tiếng Nhật,N3,IELTS,8.2,8.2
59651460386,CC54,Tiếng Pháp,N3,IELTS,8.2,9.8
64739661844,CC55,Tiếng Anh,N2,JLPT,8.5,8.7
23079639953,CC56,Tiếng Anh,N3,JLPT,7.4,8.1
10690503462,CC57,Tiếng Nhật,N1,JLPT,8.2,8.7
56676026411,CC58,Tiếng Pháp,N2,JLPT,7.7,8.5
33124275042,CC59,Tiếng Anh,N3,TOEFL,4.4,9.8
87000749016,CC60,Tiếng Pháp,N1,IELTS,8.5,8.3
13524292543,CC61,Tiếng Pháp,N2,JLPT,8.9,8.8
82103918750,CC62,Tiếng Pháp,N3,IELTS,5.8,8.2
53277706412,CC63,Tiếng Anh,N1,JLPT,4.4,9.0
93612440928,CC64,Tiếng Anh,N3,JLPT,7.4,8.9
15209026010,CC65,Tiếng Anh,N1,JLPT,6.2,8.5
65641622083,CC66,Tiếng Nhật,N1,JLPT,7.5,8.1
42739288558,CC67,Tiếng Pháp,N1,TOEFL,4.2,9.6
81570071662,CC68,Tiếng Pháp,N3,TOEFL,4.3,8.1
12665695779,CC69,Tiếng Nhật,N1,IELTS,5.2,8.8
80886847074,CC70,Tiếng Pháp,N1,TOEFL,8.5,8.0
24607656995,CC71,Tiếng Pháp,N1,IELTS,5.1,8.1
57223070454,CC72,Tiếng Pháp,N3,TOEFL,7.5,9.0
79515609114,CC73,Tiếng Pháp,N1,IELTS,7.0,8.9
85412421195,CC74,Tiếng Anh,N2,TOEFL,8.9,8.3
16123047924,CC75,Tiếng Pháp,N1,TOEFL,6.7,9.7
60281772236,CC76,Tiếng Anh,N3,JLPT,8.4,8.4
50720614725,CC77,Tiếng Pháp,N1,JLPT,5.0,8.8
60797178778,CC78,Tiếng Nhật,N3,TOEFL,4.3,9.9
95207281077,CC79,Tiếng Anh,N3,JLPT,8.9,8.3
24163844192,CC80,Tiếng Nhật,N3,TOEFL,5.1,10.0
82676367558,CC81,Tiếng Anh,N3,JLPT,8.9,8.7
36397435891,CC82,Tiếng Nhật,N3,IELTS,8.6,8.4
80504872270,CC83,Tiếng Pháp,N1,TOEFL,4.8,9.4
55577803376,CC84,Tiếng Pháp,N1,JLPT,8.2,8.6
64738113619,CC85,Tiếng Anh,N1,TOEFL,5.2,8.9
25082207717,CC86,Tiếng Nhật,N2,TOEFL,7.6,9.1
36800828708,CC87,Tiếng Pháp,N1,TOEFL,4.3,8.6
62453213953,CC88,Tiếng Anh,N1,IELTS,8.9,8.3
85246224863,CC89,Tiếng Anh,N2,TOEFL,4.9,9.8
44044911555,CC90,Tiếng Nhật,N2,TOEFL,6.6,8.0
84656068562,CC91,Tiếng Pháp,N2,IELTS,5.2,8.1
89353752741,CC92,Tiếng Anh,N2,TOEFL,5.8,8.5
85648499130,CC93,Tiếng Pháp,N2,TOEFL,8.4,9.9
97888208826,CC94,Tiếng Pháp,N2,IELTS,6.6,9.9
16489050892,CC95,Tiếng Nhật,N3,JLPT,5.3,8.1
69908113982,CC96,Tiếng Anh,N1,TOEFL,8.7,9.3
53128280158,CC97,Tiếng Anh,N2,TOEFL,4.3,8.2
73234919195,CC98,Tiếng Anh,N2,TOEFL,7.5,9.5
57281285531,CC99,Tiếng Nhật,N2,TOEFL,6.5,9.8
33941192878,CC100,Tiếng Anh,N1,JLPT,6.9,9.2
58872636928,CC101,Tiếng Nhật,N1,TOEFL,8.7,9.5
12828941843,CC102,Tiếng Pháp,N2,JLPT,8.9,9.3
61290239448,CC103,Tiếng Pháp,N1,IELTS,6.6,9.0
47935386586,CC104,Tiếng Anh,N2,IELTS,7.8,9.7
80426617721,CC105,Tiếng Pháp,N3,JLPT,7.7,8.5
28562188851,CC106,Tiếng Pháp,N1,JLPT,8.0,9.9
33767791348,CC107,Tiếng Pháp,N2,TOEFL,7.2,9.8
27296780558,CC108,Tiếng Pháp,N1,JLPT,9.0,8.1
22887171580,CC109,Tiếng Pháp,N2,IELTS,5.2,8.2
71443304116,CC110,Tiếng Anh,N2,JLPT,4.1,8.5
95426827185,CC111,Tiếng Nhật,N2,IELTS,7.0,9.1
72758279952,CC112,Tiếng Nhật,N2,IELTS,6.4,8.2
74522614406,CC113,Tiếng Nhật,N1,JLPT,7.9,8.8
10810601966,CC114,Tiếng Pháp,N3,IELTS,6.3,9.7
58244977743,CC115,Tiếng Pháp,N3,IELTS,8.5,8.1
69886761863,CC116,Tiếng Anh,N1,JLPT,4.3,8.8
32085228286,CC117,Tiếng Pháp,N2,IELTS,8.7,9.4
80656500308,CC118,Tiếng Anh,N3,JLPT,7.3,9.1
71164951804,CC119,Tiếng Pháp,N2,TOEFL,5.4,8.7
10324249756,CC120,Tiếng Anh,N2,JLPT,7.6,8.9
49972029781,CC121,Tiếng Nhật,N2,TOEFL,8.0,8.4
61942931935,CC122,Tiếng Pháp,N2,JLPT,5.6,9.2
97427209996,CC123,Tiếng Nhật,N1,IELTS,5.8,9.0
85189267066,CC124,Tiếng Nhật,N2,TOEFL,5.2,9.8
62685587300,CC125,Tiếng Anh,N3,IELTS,4.0,8.5
35226710927,CC126,Tiếng Nhật,N1,TOEFL,8.5,8.3
82485340485,CC127,Tiếng Anh,N2,JLPT,7.5,9.4
65842264808,CC128,Tiếng Nhật,N2,IELTS,8.1,9.5
79938176520,CC129,Tiếng Pháp,N1,IELTS,7.9,8.0
41785521625,CC130,Tiếng Pháp,N2,TOEFL,4.8,9.7
19115241387,CC131,Tiếng Anh,N3,JLPT,7.2,9.2
75790701257,CC132,Tiếng Pháp,N2,IELTS,8.0,8.6
82318706586,CC133,Tiếng Anh,N1,JLPT,8.6,8.0
29835379242,CC134,Tiếng Nhật,N3,IELTS,5.2,8.5
45857486873,CC135,Tiếng Anh,N1,JLPT,8.3,9.7
44433333119,CC136,Tiếng Nhật,N2,TOEFL,6.5,8.4
56821003283,CC137,Tiếng Pháp,N3,TOEFL,5.1,9.1
14814858317,CC138,Tiếng Anh,N3,JLPT,8.2,8.6
13993614298,CC139,Tiếng Anh,N1,TOEFL,4.1,8.8
85143801511,CC140,Tiếng Nhật,N3,TOEFL,6.4,9.0
28950116085,CC141,Tiếng Nhật,N2,TOEFL,7.5,9.0
88620641353,CC142,Tiếng Anh,N3,TOEFL,5.8,9.1
99452215140,CC143,Tiếng Pháp,N3,IELTS,5.7,9.6
70805549968,CC144,Tiếng Pháp,N2,IELTS,7.5,8.7
33162968001,CC145,Tiếng Anh,N3,TOEFL,5.8,8.1
83739809504,CC146,Tiếng Anh,N1,TOEFL,5.1,9.2
