id_sv,tong_diem_xet_tuyen,nganh_tt
84595781397,27.16,BF2
89112434873,28.01,ET1
55866489186,22.73,EM3
30748445119,22.21,IT-E7
71814915062,20.27,CH2
53460808529,20.48,IT-E7
11228373302,29.44,EM3
94557920123,29.72,ET1
92626415143,22.78,IT-E7
65468980012,29.86,ET1
50778831686,28.04,BF2
78562363010,21.85,BF2
25440372820,28.08,ET1
86677816967,20.76,ET1
35998503020,23.9,BF2
67213541747,20.46,BF2
57716116781,20.36,BF2
54860041264,28.63,IT-E7
71017071028,26.86,EM3
22738948890,23.55,ET1
11068404038,28.93,BF2
31025751154,23.16,EM3
74159760416,21.22,ET1
75043940114,23.88,CH2
73403881874,24.98,BF2
22542818468,22.46,ET1
69121657381,23.01,ET1
24797602977,21.13,ET1
41517502989,25.35,EM3
24129862258,23.49,EM3
21051165314,28.85,EM3
59879463190,26.14,BF2
75490828731,20.49,ET1
61076944008,22.75,EM3
46427861444,24.1,EM3
14505670665,25.94,CH2
79158118223,27.38,EM3
12152378954,21.91,ET1
95777462447,20.7,BF2
77225542041,24.25,IT-E7
22611718843,27.56,BF2
62595342958,26.92,CH2
47485856480,25.89,ET1
64880934816,21.49,ET1
19255667391,24.57,ET1
69504266910,29.64,ET1
69191787774,26.86,EM3
54052458390,21.81,CH2
71308274281,25.54,IT-E7
65738133169,27.5,IT-E7
35862831779,21.75,BF2
41735097142,29.99,ET1
86652374900,26.29,IT-E7
79304953894,29.81,ET1
59651460386,21.86,EM3
64739661844,24.2,CH2
23079639953,21.29,BF2
10690503462,25.88,CH2
56676026411,27.55,IT-E7
33124275042,22.06,BF2
87000749016,23.75,EM3
13524292543,28.17,ET1
82103918750,20.17,EM3
53277706412,23.87,ET1
93612440928,25.02,CH2
15209026010,23.91,IT-E7
65641622083,27.32,EM3
42739288558,27.42,BF2
81570071662,28.9,BF2
12665695779,26.37,BF2
80886847074,27.83,ET1
24607656995,24.89,IT-E7
57223070454,24.76,ET1
79515609114,27.37,IT-E7
85412421195,27.11,IT-E7
16123047924,23.21,BF2
60281772236,20.01,IT-E7
50720614725,21.65,ET1
60797178778,22.68,EM3
95207281077,27.63,BF2
24163844192,25.81,BF2
82676367558,21.96,CH2
36397435891,21.98,BF2
80504872270,24.86,BF2
55577803376,28.49,ET1
64738113619,21.67,EM3
25082207717,20.34,CH2
36800828708,25.84,CH2
62453213953,20.5,IT-E7
85246224863,29.95,BF2
44044911555,23.09,EM3
84656068562,21.9,ET1
89353752741,21.06,BF2
85648499130,29.81,EM3
97888208826,26.77,BF2
16489050892,26.01,BF2
69908113982,25.31,CH2
53128280158,25.89,IT-E7
73234919195,20.7,EM3
57281285531,27.82,EM3
33941192878,26.5,EM3
58872636928,26.53,CH2
12828941843,27.44,IT-E7
61290239448,28.94,ET1
47935386586,27.66,BF2
80426617721,24.65,IT-E7
28562188851,24.83,CH2
33767791348,21.86,CH2
27296780558,20.1,EM3
22887171580,29.25,IT-E7
71443304116,24.13,EM3
95426827185,29.3,IT-E7
72758279952,26.16,CH2
74522614406,21.29,CH2
10810601966,28.15,ET1
58244977743,21.81,CH2
69886761863,23.89,IT-E7
32085228286,28.9,IT-E7
80656500308,21.79,BF2
71164951804,20.11,EM3
10324249756,29.73,ET1
49972029781,24.94,BF2
61942931935,20.9,BF2
