id_sv,id_nv,tt_nv,ma_truong,ten_truong,ma_nganh,ten_nganh,phuong_thuc_1,phuong_thuc_2,phuong_thuc_3,phuong_thuc_4
84595781397,NV0,3,CMC,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EM4,Kỹ thuật Hóa học,1,1,1,1
89112434873,NV1,1,BVH,ĐẠI HỌC BÁCH KHOA HÀ NỘI,CH1,Kỹ thuật Hóa học,0,0,0,1
55866489186,NV2,2,CMC,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,QHT94,Kỹ thuật Sinh học,0,1,0,0
30748445119,NV3,3,BVH,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,TROY-BA,Kỹ thuật Hóa học,0,1,0,0
71814915062,NV4,3,DCN,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,TROY-IT,Công nghệ Thông tin,0,0,1,1
53460808529,NV5,3,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EE1,Công nghệ Thông tin,0,0,1,1
11228373302,NV6,2,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,BF2,Công nghệ Thông tin,0,0,1,0
94557920123,NV7,4,BVH,ĐẠI HỌC BÁCH KHOA HÀ NỘI,ET2,Kỹ thuật Điện,0,1,1,0
92626415143,NV8,3,QHT,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EM1,Kỹ thuật Hóa học,1,0,1,0
65468980012,NV9,1,CMC,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,BF2,Công nghệ Thông tin,1,0,1,1
50778831686,NV10,2,DCN,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EM-VUW,Kỹ thuật Điện,0,1,1,1
78562363010,NV11,3,BKA,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,QHT94,Công nghệ Thông tin,0,1,0,0
25440372820,NV12,3,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,CH2,Công nghệ Thông tin,0,0,0,0
86677816967,NV13,3,BKA,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,ET2,Kỹ thuật Hóa học,1,1,0,0
35998503020,NV14,4,DKK,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,QHT94,Công nghệ Thông tin,1,1,0,1
67213541747,NV15,3,BVH,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,CH2,Kỹ thuật Điện,1,1,0,0
57716116781,NV16,3,BVH,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM-E13,Kỹ thuật Điện,0,1,0,0
54860041264,NV17,2,BVH,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EE1,Kỹ thuật Điện,0,0,1,0
71017071028,NV18,2,BKA,ĐẠI HỌC BÁCH KHOA HÀ NỘI,ET2,Kỹ thuật Điện,1,1,1,0
22738948890,NV19,4,BVH,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,EM-VUW,Kỹ thuật Điện,1,0,0,1
11068404038,NV20,2,BKA,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE-E18,Kỹ thuật Hóa học,0,0,0,1
31025751154,NV21,2,DKK,TRƯỜNG ĐẠI HỌC CMC,EM1,Công nghệ Thông tin,1,1,0,1
74159760416,NV22,2,CMC,TRƯỜNG ĐẠI HỌC CMC,CH2,Kỹ thuật Sinh học,1,1,1,0
75043940114,NV23,3,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,CH2,Công nghệ Thông tin,0,1,1,0
73403881874,NV24,1,DCN,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,TROY-BA,Kỹ thuật Sinh học,0,0,0,0
22542818468,NV25,2,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE2,Kỹ thuật Điện,0,0,1,0
69121657381,NV26,3,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM-E14,Công nghệ Thông tin,0,1,0,1
24797602977,NV27,2,QHT,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,CH3,Kỹ thuật Điện,1,1,1,0
41517502989,NV28,4,BVH,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM4,Kỹ thuật Hóa học,0,1,0,1
24129862258,NV29,2,QHT,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM-E13,Kỹ thuật Hóa học,0,0,0,1
21051165314,NV30,2,DKK,ĐẠI HỌC BÁCH KHOA HÀ NỘI,BF-E12,Kỹ thuật Sinh học,0,0,1,0
59879463190,NV31,1,CMC,ĐẠI HỌC BÁCH KHOA HÀ NỘI,CH-E11,Kỹ thuật Hóa học,0,0,0,1
75490828731,NV32,2,CMC,TRƯỜNG ĐẠI HỌC CMC,TROY-IT,Công nghệ Thông tin,0,0,1,0
61076944008,NV33,1,BVH,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,BF-E19,Kỹ thuật Sinh học,0,1,0,1
46427861444,NV34,1,CMC,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM4,Kỹ thuật Hóa học,0,0,1,0
14505670665,NV35,3,CMC,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,TROY-IT,Kỹ thuật Điện,0,1,1,1
79158118223,NV36,1,DKK,TRƯỜNG ĐẠI HỌC CMC,BF1,Kỹ thuật Điện,1,0,1,1
12152378954,NV37,4,BVH,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EE-EP,Kỹ thuật Điện,0,1,0,1
95777462447,NV38,4,QHT,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,EM3,Công nghệ Thông tin,1,1,0,1
77225542041,NV39,2,CMC,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EE2,Kỹ thuật Hóa học,1,1,0,0
22611718843,NV40,1,QHT,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,ET2,Kỹ thuật Điện,1,0,0,1
62595342958,NV41,3,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,TX1,Kỹ thuật Hóa học,0,0,1,0
47485856480,NV42,1,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM1,Kỹ thuật Điện,0,0,1,1
64880934816,NV43,2,DCN,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EM5,Kỹ thuật Điện,1,1,1,0
19255667391,NV44,3,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,IT-E7,Kỹ thuật Sinh học,0,0,1,0
69504266910,NV45,2,DCN,TRƯỜNG ĐẠI HỌC CMC,EM-E14,Kỹ thuật Sinh học,0,1,1,0
69191787774,NV46,2,QHT,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EE1,Kỹ thuật Hóa học,1,1,0,1
54052458390,NV47,4,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,BF2,Kỹ thuật Sinh học,0,1,0,0
71308274281,NV48,2,DCN,TRƯỜNG ĐẠI HỌC CMC,EE-E18,Công nghệ Thông tin,1,0,1,0
65738133169,NV49,3,CMC,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EE1,Công nghệ Thông tin,0,1,1,0
35862831779,NV50,3,BKA,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM1,Công nghệ Thông tin,1,0,0,0
41735097142,NV51,2,QHT,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,EM3,Kỹ thuật Điện,0,0,1,0
86652374900,NV52,4,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EM-E13,Công nghệ Thông tin,0,1,0,0
79304953894,NV53,4,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,CH2,Kỹ thuật Điện,1,0,0,1
59651460386,NV54,2,BKA,TRƯỜNG ĐẠI HỌC CMC,IT-E7,Kỹ thuật Sinh học,1,1,1,0
64739661844,NV55,1,BKA,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EM1,Công nghệ Thông tin,1,0,0,0
23079639953,NV56,4,BKA,ĐẠI HỌC BÁCH KHOA HÀ NỘI,ET1,Kỹ thuật Điện,0,1,1,1
10690503462,NV57,1,BKA,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,CH3,Kỹ thuật Sinh học,1,1,0,0
56676026411,NV58,2,QHI,TRƯỜNG ĐẠI HỌC CMC,CH-E11,Công nghệ Thông tin,1,0,1,1
33124275042,NV59,1,DKK,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,CH1,Kỹ thuật Hóa học,0,0,0,1
87000749016,NV60,1,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,ET2,Kỹ thuật Hóa học,0,1,0,1
13524292543,NV61,1,BKA,ĐẠI HỌC BÁCH KHOA HÀ NỘI,EM1,Kỹ thuật Sinh học,0,0,0,1
82103918750,NV62,4,BKA,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,BF2,Kỹ thuật Sinh học,1,1,0,1
53277706412,NV63,3,DKK,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,EE-E8,Kỹ thuật Hóa học,0,1,0,1
93612440928,NV64,2,BKA,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐH QG HÀ NỘI,CH1,Kỹ thuật Sinh học,0,1,0,1
15209026010,NV65,4,QHT,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,ED2,Kỹ thuật Hóa học,0,1,1,0
65641622083,NV66,4,QHT,TRƯỜNG ĐẠI HỌC CMC,EM-E13,Kỹ thuật Điện,0,1,1,1
42739288558,NV67,3,BVH,TRƯỜNG ĐẠI HỌC CMC,BF2,Kỹ thuật Hóa học,0,0,0,0
81570071662,NV68,2,QHT,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,CH2,Kỹ thuật Hóa học,1,0,1,1
12665695779,NV69,4,QHI,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE2,Kỹ thuật Điện,0,0,1,1
80886847074,NV70,3,DKK,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,EM-VUW,Công nghệ Thông tin,0,1,0,1
24607656995,NV71,2,BVH,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,BF2,Kỹ thuật Điện,1,0,1,0
57223070454,NV72,3,DCN,HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG,ED2,Kỹ thuật Điện,0,1,0,1
79515609114,NV73,3,DCN,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EM-VUW,Kỹ thuật Điện,0,1,0,1
85412421195,NV74,4,DKK,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,EE1,Kỹ thuật Sinh học,0,0,1,1
